"Gender","Ever_Married","Age","Graduated","Profession","Work_Experience","Spending_Score","Family_Size","Car","Licence_Plate","Credit_Owner","Child","Var_1","Segmentation"
"Female","Yes",41,"Yes","Artist",0,"Average",2,5,"1-COS-852","0",1,"Cat_6","C"
"Male","Yes",30,"Yes","Artist",12,"Average",2,3,"1-HBJ-766","1",0,"Cat_6","B"
"Male","Yes",43,"No","Entertainment",NA,"Average",3,5,"1-IOU-585","0",0,"Cat_6","B"
"Male","No",19,"No","Healthcare",0,"Low",3,1,"1-JYK-708","1",2,"Cat_2","D"
"Male","Yes",38,"No","Executive",1,"High",4,3,"1-ENQ-937","1",3,"Cat_6","D"
"Male","Yes",35,"Yes","Artist",1,"High",3,3,"1-OHE-771","1",0,"Cat_6","B"
"Male","Yes",51,"Yes","Executive",9,"Low",1,7,"1-QNZ-106","0",0,"Cat_4","C"
"Male","Yes",87,"Yes","Lawyer",0,"Low",1,13,"1-GKX-249","0",0,"Cat_6","B"
"Male","Yes",42,"Yes","Artist",6,"Low",3,4,"1-UXC-081","0",0,"Cat_6","A"
"Male","No",27,"Yes","Healthcare",NA,"Low",3,4,"1-POH-434","0",1,"Cat_2","D"
"Male","Yes",36,"No","Executive",2,"High",3,3,"1-BWT-535","1",1,"Cat_4","D"
"Male","Yes",36,"Yes","Artist",4,"Low",1,4,"1-PJX-234","0",0,"Cat_6","A"
"Male","Yes",40,"Yes","Artist",0,"Low",2,7,"1-MRP-453","0",0,"Cat_2","D"
"Male","No",31,"Yes","Healthcare",0,"Low",2,2,"1-UFT-468","0",1,"Cat_4","C"
"Female","No",30,"No","Doctor",0,"Low",4,2,"1-FTO-772","0",4,"Cat_6","D"
"Female","No",60,"Yes","Artist",1,"Low",3,8,"1-VCO-457","0",0,"Cat_6","C"
"Female","Yes",49,"Yes","Artist",0,"Average",5,5,"1-SXA-925","0",4,"Cat_2","C"
"Male","No",36,"Yes","Engineer",NA,"Low",2,4,"1-UYE-794","0",0,"Cat_3","D"
"Male","No",42,"Yes","Artist",NA,"Low",1,4,"1-QGY-956","0",0,"Cat_4","A"
"Male","Yes",61,"Yes","Executive",0,"High",3,7,"1-ABS-253","0",0,"Cat_6","D"
"Female","Yes",40,"Yes","Artist",1,"Average",2,4,"1-VIX-078","0",0,"Cat_6","C"
"Female","Yes",63,"Yes","Doctor",0,"Average",3,9,"1-OHQ-555","0",1,"Cat_6","C"
"Female","No",28,"No","Healthcare",0,"Low",3,2,"1-MBJ-173","0",1,"Cat_4","B"
"Female","No",32,"Yes","Artist",4,"Low",4,3,"1-GFJ-689","0",2,"Cat_2","A"
"Male","Yes",59,"Yes","Artist",NA,"Low",NA,8,"1-LRB-889","0",NA,"Cat_6","B"
"Female","Yes",74,"No","Entertainment",NA,"High",3,10,"1-MDQ-709","0",1,"Cat_6","D"
"Male","Yes",67,"Yes","Marketing",1,"Low",2,8,"1-OSO-211","0",0,"Cat_7","D"
"Male","Yes",41,"Yes","Executive",7,"High",2,4,"1-UFU-666","1",0,"Cat_6","C"
"Male","No",31,"No","Healthcare",1,"Low",3,2,"1-RHS-631","0",2,"Cat_2","B"
"Male","Yes",57,"Yes","Artist",2,"Average",2,6,"1-JHC-178","0",1,"Cat_6","A"
"Female","Yes",51,"Yes","Artist",1,"Low",1,7,"1-FVW-655","0",0,"Cat_6","C"
"Female",NA,29,"Yes","Homemaker",0,"High",4,3,"1-KFM-473","1",NA,"Cat_2","B"
"Female","Yes",31,"No","Engineer",1,"High",4,5,"1-KUE-360","1",2,"Cat_4","A"
"Female","No",30,"No","Entertainment",0,"Low",3,3,"1-AXG-448","0",0,"Cat_6","D"
"Female","No",20,"No","Healthcare",0,"Low",3,1,"1-YBT-051","0",2,"Cat_6","D"
"Male","Yes",79,NA,"Lawyer",0,"High",2,11,"1-JJM-316","0",0,"Cat_6","C"
"Male","Yes",28,"Yes","Artist",9,"Average",2,3,"1-JOP-696","1",1,"Cat_6","A"
"Male","No",30,"Yes","Artist",8,"Low",1,5,"1-BKQ-420","0",0,"Cat_6","A"
"Male","Yes",61,"Yes","Entertainment",3,"Average",6,9,"1-NXC-779","0",2,"Cat_6","B"
"Female","Yes",73,"Yes","Lawyer",1,"High",2,10,"1-XVL-463","0",0,"Cat_6","C"
"Male","Yes",51,"No","Entertainment",1,"Average",4,7,"1-ATN-405","0",2,"Cat_4","A"
"Female","No",21,"No","Healthcare",1,"Low",5,1,"1-WBR-488","0",3,"Cat_4","D"
"Male","Yes",33,"No","Executive",4,"High",4,3,"1-UEV-140","1",1,"Cat_3","B"
"Female","No",39,"Yes","Doctor",2,"Low",1,5,"1-QPD-575","0",0,"Cat_6","B"
"Male","Yes",27,"Yes","Artist",6,"Average",2,2,"1-NOQ-641","1",0,"Cat_6","B"
"Male","No",33,"No","Engineer",2,"Low",4,3,"1-BLJ-390","0",2,"Cat_3","D"
"Female","Yes",37,"Yes","Artist",0,"Low",1,3,"1-PRQ-999","0",0,"Cat_6","C"
"Male","No",26,"No","Doctor",0,"Low",2,1,"1-NMM-739","0",0,"Cat_6","D"
"Female","No",43,"Yes","Doctor",3,"Low",1,4,"1-SDH-059","0",0,"Cat_2","A"
"Male","No",37,"Yes","Healthcare",NA,"Low",NA,4,"1-PPD-457","0",NA,"Cat_4","C"
"Female","No",20,"No","Healthcare",1,"Low",3,1,"1-DLC-775","0",0,"Cat_6","D"
"Male","Yes",50,"Yes","Entertainment",0,"Average",2,6,"1-PGN-183","0",0,"Cat_3","C"
"Female","Yes",52,"Yes","Artist",0,"High",3,7,"1-BFF-151","1",2,"Cat_6","C"
"Male","No",29,"No","Entertainment",5,"Low",1,2,"1-QIH-998","0",0,"Cat_6","D"
"Male","Yes",39,"Yes","Artist",1,"Average",2,5,"1-VAH-774","1",0,"Cat_1","A"
"Female","Yes",62,"Yes","Artist",9,"Average",5,8,"1-YZU-885","0",3,"Cat_2","B"
"Female","Yes",49,"Yes","Artist",0,"Average",4,6,"1-OCJ-360","0",2,"Cat_7","B"
"Male","Yes",78,"No","Lawyer",1,"Low",NA,12,"1-GHC-005","0",NA,"Cat_6","B"
"Male","Yes",73,"Yes","Entertainment",1,"High",4,9,"1-XTI-087","0",1,"Cat_6","B"
"Male","Yes",51,"No","Artist",2,"Average",4,7,"1-WCI-032","0",3,"Cat_7","C"
"Female","No",33,"Yes","Doctor",0,"Low",5,5,"1-DEQ-908","0",2,"Cat_6","C"
"Female","No",23,"No","Entertainment",0,"Low",6,1,"1-NHJ-103","0",6,"Cat_2","D"
"Female","Yes",50,"Yes","Artist",1,"High",8,7,"1-DTS-854","1",4,"Cat_6","B"
"Female","Yes",68,"Yes","Artist",1,"Average",2,8,"1-BTK-495","0",0,"Cat_6","C"
"Female","No",56,"Yes","Artist",0,"Low",2,8,"1-DGQ-125","0",0,"Cat_6","C"
"Female","Yes",85,"Yes","Lawyer",1,"Low",2,12,"1-DJT-113","0",0,"Cat_6","A"
"Female","No",25,"Yes","Marketing",8,"Low",NA,1,"1-PNV-005","0",NA,"Cat_1","D"
"Male","Yes",70,"Yes","Lawyer",3,"Low",1,10,"1-AXG-602","0",0,"Cat_6","D"
"Male","Yes",65,"Yes","Homemaker",0,"High",2,10,"1-GYK-999","0",0,"Cat_6","A"
"Male","Yes",66,"No","Entertainment",0,"Average",2,11,"1-BEW-374","0",1,"Cat_6","B"
"Male","Yes",42,"No","Executive",5,"High",4,5,"1-HJL-733","1",0,"Cat_6","C"
"Male","Yes",72,"Yes","Executive",0,"High",4,9,"1-PWA-895","0",2,"Cat_6","C"
"Male","Yes",63,"Yes","Artist",0,"Average",4,8,"1-SVW-997","0",2,"Cat_6","C"
"Female","Yes",53,"Yes","Artist",1,"Average",2,7,"1-CPZ-651","0",0,"Cat_4","C"
"Female","No",31,"No","Doctor",0,"Low",4,2,"1-GGN-816","0",2,"Cat_6","D"
"Female","Yes",39,"Yes","Artist",0,"High",2,4,"1-KOQ-655","1",0,"Cat_6","A"
"Male","No",22,"No","Healthcare",0,"Low",6,2,"1-FBG-802","0",4,"Cat_4","D"
"Male","Yes",45,"Yes","Executive",0,"High",4,4,"1-NQY-006","1",2,"Cat_6","B"
"Male","No",19,"No","Healthcare",9,"Low",5,1,"1-OSB-445","1",4,"Cat_6","D"
"Male","Yes",51,"Yes","Artist",0,"Average",5,7,"1-LOQ-220","0",1,"Cat_6","C"
"Male","No",27,"No","Doctor",1,"Low",3,2,"1-BKV-629","0",1,"Cat_6","D"
"Female","Yes",36,"Yes","Artist",1,"Average",2,4,"1-WDT-351","1",1,"Cat_6","C"
"Male","No",35,"No","Marketing",0,"Low",4,4,"1-FBJ-497","0",3,"Cat_4","D"
"Male","No",19,"No","Entertainment",1,"Low",6,1,"1-FSA-077","1",3,"Cat_4","C"
"Female","No",39,"Yes","Artist",9,"Low",1,8,"1-HAW-593","0",0,"Cat_6","B"
"Female","Yes",37,"Yes","Doctor",9,"Average",4,4,"1-RAB-212","1",0,"Cat_2","C"
"Male","Yes",31,"Yes","Artist",0,"Average",2,2,"1-PKL-279","1",0,"Cat_6","A"
"Female","Yes",31,"Yes","Artist",1,"Average",2,2,"1-NBB-548","1",0,"Cat_6","A"
"Male","No",43,"Yes","Artist",8,"Low",NA,4,"1-RZY-541","0",NA,"Cat_6","A"
"Female","No",27,"Yes","Healthcare",3,"Low",4,3,"1-CUT-101","0",3,"Cat_1","D"
"Male","No",43,"Yes","Artist",1,"Low",1,4,"1-YMW-332","0",0,"Cat_6","B"
"Female","Yes",27,"Yes","Marketing",9,"Low",1,2,"1-FUU-788","0",0,"Cat_3","C"
"Male","No",35,"No","Entertainment",0,"Low",2,3,"1-XUJ-850","0",2,"Cat_6","A"
"Female","Yes",58,"No","Lawyer",NA,"High",2,8,"1-SYN-844","1",0,"Cat_6","B"
"Male","Yes",47,NA,"Healthcare",NA,"Average",4,6,"1-FFM-904","0",1,"Cat_6","D"
"Male","No",22,"No","Healthcare",6,"Low",4,1,"1-KWC-863","0",3,"Cat_6","D"
"Female","Yes",58,"Yes","Doctor",1,"Average",2,8,"1-JMJ-882","0",0,"Cat_6","D"
"Female","No",28,"Yes","Healthcare",7,"Low",4,2,"1-GOE-733","0",1,"Cat_6","D"
"Female","Yes",45,"Yes","Artist",0,"Average",5,4,"1-OYX-764","0",1,"Cat_6","C"
"Male","Yes",56,"Yes","Entertainment",1,"Low",2,6,"1-QPS-702","0",1,"Cat_6","C"
"Male","Yes",58,"Yes","Artist",0,"Low",3,8,"1-RIX-351","0",0,"Cat_6","A"
"Female","No",50,"Yes","Artist",0,"Low",1,6,"1-VDA-951","0",0,"Cat_6","B"
"Male","No",39,"Yes","Entertainment",5,"Low",1,5,"1-GJV-741","0",1,"Cat_3","A"
"Female","Yes",65,"Yes","Lawyer",1,"High",2,8,"1-GXD-390","0",0,"Cat_6","B"
"Female","Yes",37,"Yes","Artist",1,"Low",2,4,"1-IOF-986","0",1,"Cat_6","C"
"Female","No",21,"No","Entertainment",5,"Low",5,1,"1-QMA-910","0",4,"Cat_4","D"
"Male","Yes",59,"Yes","Artist",0,"Low",2,7,"1-YSK-674","0",0,"Cat_6","A"
"Male","Yes",46,"Yes","Artist",1,"Low",3,5,"1-NIK-276","0",0,"Cat_6","A"
"Male","Yes",60,"Yes","Artist",9,"Low",1,8,"1-YRN-742","0",0,"Cat_6","B"
"Female","Yes",43,"No","Engineer",0,"Average",4,4,"1-IEZ-052","0",3,"Cat_6","A"
"Male","No",20,"No","Healthcare",6,"Low",3,1,"1-XLY-041","0",0,"Cat_6","D"
"Male","Yes",49,"Yes","Artist",1,"Average",3,6,"1-FXP-635","0",0,"Cat_6","D"
"Male","Yes",89,"Yes","Doctor",NA,"Low",1,12,"1-CRM-330","0",0,"Cat_6","A"
"Male","No",25,"Yes","Healthcare",0,"Low",3,1,"1-BYC-440","0",2,"Cat_6","B"
"Male","Yes",63,"Yes","Artist",5,"Average",4,8,"1-WIB-703","0",2,"Cat_6","C"
"Female","Yes",73,"Yes","Lawyer",1,"High",2,10,"1-FCU-856","0",0,"Cat_6","A"
"Male","No",20,"No","Healthcare",0,"Low",NA,1,"1-GOO-432","0",NA,"Cat_6","D"
"Male","No",18,"No","Healthcare",2,"Low",NA,1,"1-FUL-462","1",NA,"Cat_2","D"
"Female","Yes",74,"No","Lawyer",1,"High",2,11,"1-RFD-543","0",0,"Cat_6","C"
"Male","Yes",42,"Yes","Healthcare",0,"Average",4,5,"1-YFC-829","0",1,"Cat_4","B"
"Female","Yes",41,"Yes","Engineer",0,"High",3,4,"1-MQM-049","1",0,"Cat_6","A"
"Male","Yes",30,"Yes","Artist",NA,"Low",1,3,"1-BLE-857","0",0,"Cat_7","B"
"Female","No",36,"Yes","Artist",8,"Low",1,6,"1-PTH-557","0",0,"Cat_6","B"
"Female","Yes",42,"Yes","Doctor",8,"Low",1,5,"1-CIP-440","0",0,"Cat_6","A"
"Male","No",41,"Yes","Artist",2,"Low",3,5,"1-MPV-044","0",1,"Cat_6","A"
"Male","Yes",74,"Yes","Lawyer",1,"Low",1,10,"1-FAM-251","0",0,"Cat_2","C"
"Female","No",48,"Yes","Artist",1,"Low",1,6,"1-ORL-765","0",1,"Cat_2","B"
"Female","Yes",33,"No","Entertainment",1,"Low",2,3,"1-BOL-893","0",1,"Cat_3","A"
"Male","Yes",46,"Yes","Entertainment",5,"Low",3,5,"1-PVQ-705","0",2,"Cat_6","A"
"Male","Yes",59,"Yes","Artist",1,"Low",2,7,"1-HAQ-778","0",0,"Cat_6","A"
"Female","Yes",38,"Yes","Artist",5,"Average",3,5,"1-OQW-870","1",0,"Cat_1","D"
"Male","Yes",28,"Yes","Entertainment",3,"Average",3,2,"1-FET-006","1",0,"Cat_7","B"
"Female","Yes",65,"No","Engineer",1,"Average",3,9,"1-BEA-807","0",2,"Cat_6","A"
"Female","Yes",38,"Yes","Artist",1,"Average",4,4,"1-EOX-898","1",3,"Cat_3","C"
"Male","Yes",52,"Yes","Artist",1,"Low",4,6,"1-UJS-627","0",0,"Cat_6","C"
"Male","Yes",83,"No","Lawyer",1,"High",3,13,"1-EHO-075","0",2,"Cat_6","A"
"Female","No",19,"No","Healthcare",0,"Low",4,1,"1-KGF-630","1",4,"Cat_6","C"
"Female","No",29,"No","Healthcare",1,"Low",3,2,"1-YMB-307","0",3,"Cat_6","B"
"Male","No",28,"Yes","Artist",8,"Low",3,2,"1-BQR-185","0",0,"Cat_6","C"
"Male","No",22,"No","Healthcare",1,"Low",5,2,"1-NPO-710","0",2,NA,"D"
"Female","Yes",84,"Yes","Lawyer",3,"High",2,11,"1-XQK-352","0",0,"Cat_6","A"
"Male","Yes",50,"No","Artist",0,"Average",4,7,"1-OTG-557","0",1,"Cat_6","C"
"Female","No",38,"Yes","Artist",8,"Low",8,4,"1-YMA-126","0",5,"Cat_2","B"
"Female","No",33,"Yes","Engineer",1,"Low",4,2,"1-MSZ-822","0",3,"Cat_3","A"
"Male","Yes",57,"Yes","Artist",0,"Low",1,8,"1-BAK-552","0",0,"Cat_6","D"
"Male","Yes",53,"Yes","Doctor",2,"Average",3,7,"1-LXS-414","0",0,"Cat_6","C"
"Female","No",36,"Yes","Healthcare",1,"Low",2,3,"1-NGB-855","0",0,"Cat_6","A"
"Female","No",26,"No","Engineer",0,"Low",1,1,"1-FGC-922","0",0,"Cat_6","A"
"Male","Yes",48,"Yes","Healthcare",1,"Average",4,6,"1-VYW-158","0",0,"Cat_6","A"
"Male","Yes",46,"Yes","Artist",1,"Average",3,6,"1-BFL-454","0",2,"Cat_3","C"
"Female","Yes",33,"No","Engineer",7,"Average",5,3,"1-EQT-444","1",2,"Cat_4","B"
"Male","No",26,"Yes","Artist",5,"Low",1,2,"1-ESW-750","0",1,"Cat_1","B"
"Male","No",27,"No","Doctor",0,"Low",4,2,"1-UFM-760","0",2,"Cat_1","D"
"Female","No",26,"No","Healthcare",1,"Low",4,1,"1-DEU-136","0",1,"Cat_3","C"
"Female","Yes",39,"Yes","Entertainment",NA,"Average",2,5,"1-UHD-015","1",0,"Cat_2","B"
"Male","Yes",39,"Yes","Doctor",1,"Low",2,5,"1-VGX-760","0",0,"Cat_4","B"
"Male","No",33,"No","Doctor",2,"Low",4,2,"1-HPI-980","0",4,"Cat_6","A"
"Male","Yes",45,"No","Executive",1,"High",4,6,"1-QWB-215","1",0,"Cat_6","B"
"Male","Yes",88,"Yes","Lawyer",0,"High",2,13,"1-BRD-170","0",0,"Cat_6","A"
"Male","No",19,"No","Doctor",0,"Low",4,1,"1-DBQ-829","1",4,"Cat_6","D"
"Female","No",36,"Yes","Artist",0,"Low",2,4,"1-QLO-622","0",0,"Cat_5","D"
"Female","No",38,"Yes","Healthcare",0,"Low",4,4,"1-WJO-303","0",4,"Cat_6","A"
"Female","Yes",41,"Yes","Artist",0,"Average",2,4,"1-GHG-702","0",0,"Cat_6","C"
"Male","Yes",45,"Yes","Artist",0,"Average",2,6,"1-VLU-742","0",1,"Cat_6","C"
"Male","No",19,"No","Healthcare",0,"Low",NA,1,"1-GKP-206","1",NA,"Cat_4","A"
"Male","No",22,"No","Healthcare",0,"Low",3,1,"1-QEH-047","0",3,"Cat_6","D"
"Female","Yes",37,"Yes","Artist",5,"High",3,4,"1-MYR-939","1",0,"Cat_6","C"
"Male","No",26,"Yes","Healthcare",0,"Low",3,2,"1-JYV-753","0",1,"Cat_3","C"
"Male","Yes",63,"No","Executive",NA,"High",3,9,"1-EMR-499","0",2,"Cat_6","A"
"Male","No",32,"No","Doctor",2,"Low",2,2,"1-WPA-548","0",2,"Cat_6","D"
"Female","Yes",78,"No","Lawyer",1,"High",2,10,"1-FJF-752","0",1,"Cat_4","B"
"Female","Yes",46,"No","Artist",0,"Average",4,5,"1-NZH-436","0",2,"Cat_3","C"
"Female","No",26,"No","Entertainment",6,"Low",8,1,"1-QLP-022","0",5,"Cat_4","D"
"Male","Yes",83,"No","Lawyer",8,"High",2,12,"1-PIV-715","0",1,"Cat_6","B"
"Male","Yes",60,"Yes","Doctor",0,"Average",2,8,"1-XAF-688","0",0,"Cat_6","C"
"Male","Yes",83,"Yes","Lawyer",NA,"Low",1,12,"1-RXT-510","0",0,"Cat_6","A"
"Male","No",32,"No","Doctor",5,"Low",1,2,"1-VGF-996","0",0,"Cat_7","D"
"Female","Yes",60,"Yes","Executive",0,"Low",2,9,"1-HGX-913","0",0,"Cat_6","B"
"Female","No",36,"Yes","Artist",0,"Low",2,3,"1-LCX-202","0",0,"Cat_6","B"
"Male","Yes",62,"Yes","Artist",1,"Average",5,7,"1-YIJ-676","0",1,"Cat_6","A"
"Male","No",33,"Yes","Healthcare",0,"Low",5,2,"1-XRX-725","0",5,"Cat_6","A"
"Female","No",35,"Yes","Engineer",NA,"Low",2,3,"1-KPN-266","0",0,"Cat_6","D"
"Male","Yes",83,"No","Lawyer",0,"Low",1,14,"1-NME-354","0",0,"Cat_6","D"
"Female",NA,25,"Yes","Homemaker",NA,"Low",1,1,"1-MPM-828","0",NA,"Cat_6","D"
"Male","No",22,"No","Healthcare",9,"Low",5,1,"1-CZB-011","0",4,"Cat_4","D"
"Male","No",31,"Yes","Entertainment",0,"Low",5,2,"1-OAX-127","0",2,"Cat_6","D"
"Female","Yes",71,"Yes","Lawyer",2,"Low",6,10,"1-WWG-602","0",4,"Cat_1","A"
"Female","No",31,"No","Doctor",NA,"Low",4,2,"1-BDL-645","0",1,"Cat_6","D"
"Male","No",28,"No","Healthcare",1,"Low",4,2,"1-YRG-412","0",3,"Cat_4","A"
"Female","No",23,"No","Healthcare",0,"Low",4,1,"1-PSA-539","0",1,"Cat_6","D"
"Male","No",27,"No","Healthcare",1,"Low",3,3,"1-SBE-115","0",3,NA,"D"
"Male","Yes",38,"No","Doctor",NA,"Average",4,5,"1-BSK-473","1",0,"Cat_6","B"
"Male","Yes",80,"Yes","Lawyer",1,"Low",1,11,"1-QMS-610","0",0,"Cat_6","A"
"Male","Yes",87,"No","Lawyer",NA,"Low",1,13,"1-DFI-753","0",0,"Cat_3","B"
"Male","No",32,"Yes","Doctor",0,"Low",4,2,"1-IXJ-940","0",4,"Cat_3","D"
"Male",NA,40,"Yes","Artist",1,"Low",1,5,"1-IDO-036","0",NA,"Cat_7","A"
"Female","Yes",40,"No","Engineer",0,"Low",3,4,"1-QQJ-284","0",1,"Cat_6","A"
"Female","No",43,"Yes","Healthcare",9,"Low",1,5,"1-HKU-368","0",0,"Cat_6","D"
"Female","Yes",89,"No","Lawyer",1,"High",2,12,"1-LHY-514","0",0,"Cat_6","D"
"Female","No",28,"Yes","Healthcare",NA,"Low",1,3,"1-EBX-621","0",1,"Cat_3","A"
"Female","Yes",49,"No","Engineer",5,"Average",5,6,"1-FAJ-942","0",1,"Cat_4","D"
"Male","No",42,"Yes","Artist",1,"Low",1,4,"1-WTB-256","0",0,"Cat_2","C"
"Female","No",19,"No","Healthcare",2,"Low",3,1,"1-GQL-977","1",3,"Cat_6","D"
"Female","No",35,"Yes","Artist",0,"Low",3,4,"1-AYK-904","0",0,"Cat_6","A"
"Female","Yes",50,"Yes","Artist",1,"Average",2,6,"1-PRU-818","0",1,"Cat_6","A"
"Female","Yes",59,"No","Artist",1,"Low",3,7,"1-SOC-004","0",1,"Cat_4","C"
"Female","Yes",74,"No","Lawyer",0,"High",2,9,"1-GER-585","0",0,"Cat_6","A"
"Female","Yes",45,"Yes","Engineer",2,"Low",1,5,"1-HWK-176","0",0,"Cat_4","A"
"Male","No",42,"Yes","Artist",9,"Low",1,5,"1-GTR-003","0",0,"Cat_6","A"
"Female","Yes",59,"Yes","Artist",1,"Average",2,7,"1-GRW-441","0",0,"Cat_5","B"
"Female","Yes",53,"Yes","Engineer",8,"High",4,7,"1-PBR-836","1",1,"Cat_6","A"
"Female","No",26,"Yes","Homemaker",9,"Low",NA,2,"1-CLZ-281","0",NA,"Cat_3","D"
"Male","No",43,"Yes","Entertainment",1,"Low",2,6,"1-SUJ-019","0",0,"Cat_4","A"
"Female","No",27,"No","Homemaker",8,"Low",1,2,"1-BVI-390","0",0,"Cat_3","B"
"Male","No",40,"Yes","Artist",0,"Low",1,5,"1-VHF-027","0",0,"Cat_7","B"
"Female","Yes",39,"Yes","Artist",1,"Average",4,5,"1-UEO-000","1",0,"Cat_6","C"
"Male","No",26,"Yes","Doctor",0,"Low",9,1,"1-ORP-623","0",6,"Cat_4","B"
"Male","Yes",66,"Yes","Healthcare",0,"Low",1,9,"1-EKG-703","0",0,"Cat_4","D"
"Male","Yes",31,"No","Executive",NA,"Average",3,3,"1-JXQ-203","1",1,"Cat_4","A"
"Male","Yes",48,"No","Executive",1,"High",6,6,"1-KSP-901","1",4,"Cat_6","A"
"Female","No",31,"Yes","Artist",1,"Low",6,2,"1-VEY-064","0",3,"Cat_4","A"
"Female","Yes",48,"Yes","Artist",0,"Average",3,6,"1-NYD-854","0",2,"Cat_4","A"
"Male","Yes",66,"Yes","Artist",0,"Low",1,9,"1-RYK-239","0",0,"Cat_4","D"
"Male","Yes",42,"Yes","Doctor",0,"Average",2,5,"1-UXR-974","0",1,"Cat_6","C"
"Female","Yes",47,"Yes","Artist",8,"High",2,6,"1-GXZ-849","1",0,"Cat_6","C"
"Female","Yes",47,"Yes","Homemaker",1,"Low",4,8,"1-CNX-873","0",2,"Cat_6","A"
"Male","Yes",41,"No","Doctor",0,"Average",2,4,"1-GDE-625","0",1,"Cat_4","A"
"Male","Yes",27,"Yes","Entertainment",0,"Low",4,2,"1-YKM-487","0",1,"Cat_7","D"
"Male","No",30,"Yes","Doctor",8,"Low",6,3,"1-DMD-381","0",5,"Cat_2","D"
"Male","No",26,"No","Entertainment",1,"Low",3,1,"1-AMY-916","0",2,"Cat_3","D"
"Female","No",35,"Yes","Healthcare",9,"Low",1,4,"1-SER-991","0",1,"Cat_6","D"
"Female","Yes",69,"Yes","Lawyer",0,"High",2,10,"1-JZJ-781","0",0,"Cat_6","C"
"Female","Yes",46,"Yes","Artist",0,"High",4,6,"1-RFD-909","1",2,"Cat_6","B"
"Female","No",20,"No","Entertainment",0,"Low",6,1,"1-REZ-125","0",5,"Cat_2","B"
"Male","Yes",55,"No","Artist",0,"Low",1,6,"1-SOF-374","0",0,"Cat_6","B"
"Female","No",45,"No","Marketing",1,"Low",1,4,"1-EON-118","0",0,"Cat_6","D"
"Male","No",29,"No","Artist",8,"Low",5,2,"1-SET-944","0",3,"Cat_5","D"
"Female","No",25,"Yes","Artist",NA,"Low",1,1,"1-QZM-588","0",0,"Cat_6","D"
"Female","Yes",56,"Yes","Engineer",0,"High",2,8,"1-JTD-092","1",0,"Cat_6","B"
"Female","No",32,"No","Healthcare",12,"Low",3,3,"1-DXI-854","0",3,"Cat_6","A"
"Male","No",18,"No","Healthcare",1,"Low",3,1,"1-LIT-824","1",2,"Cat_4","D"
"Female","Yes",62,"Yes","Artist",1,"Average",2,10,"1-JZG-070","0",0,"Cat_6","B"
"Male","No",32,"Yes","Entertainment",1,"Low",2,2,"1-WYU-777","0",2,"Cat_6","D"
